timestamp,open,high,low,close,volume
2025-12-15 03:00:00,89321.85,89543.88,89225.91,89282.6,320.69878
2025-12-15 04:00:00,89282.6,89786.89,89272.88,89667.64,408.51835
2025-12-15 05:00:00,89667.64,89749.47,89492.0,89615.24,221.82498
2025-12-15 06:00:00,89615.25,89918.48,89476.98,89735.88,262.41654
2025-12-15 07:00:00,89735.89,89824.47,89516.0,89753.42,424.17802
2025-12-15 08:00:00,89753.43,89900.0,89655.52,89770.01,250.02319
2025-12-15 09:00:00,89770.0,89986.68,89770.0,89865.12,310.4569
2025-12-15 10:00:00,89865.13,89981.64,89717.34,89858.95,470.70514
2025-12-15 11:00:00,89858.96,89900.0,89572.05,89641.28,493.20463
2025-12-15 12:00:00,89641.28,89762.56,89431.52,89695.75,392.24774
2025-12-15 13:00:00,89695.76,89736.9,89274.44,89432.0,415.38225
2025-12-15 14:00:00,89432.01,89876.42,87840.0,88050.01,1787.73645
2025-12-15 15:00:00,88050.0,88184.28,86621.91,87033.22,3292.66278
2025-12-15 16:00:00,87033.21,87220.0,86062.67,86400.01,1613.2235
2025-12-15 17:00:00,86400.0,86496.89,85599.99,85762.87,1557.3817
2025-12-15 18:00:00,85762.86,86272.23,85146.64,86185.39,1482.06005
2025-12-15 19:00:00,86185.4,86560.4,85880.0,86149.96,1136.56389
2025-12-15 20:00:00,86149.96,86199.63,85610.88,85787.04,692.94245
2025-12-15 21:00:00,85787.04,86307.36,85530.01,86243.78,691.57648
2025-12-15 22:00:00,86243.77,86259.32,85827.98,86259.31,440.84932
2025-12-15 23:00:00,86259.32,86472.7,86103.67,86432.08,735.07689
2025-12-16 00:00:00,86432.08,86535.22,85836.6,85865.48,556.05003
2025-12-16 01:00:00,85865.49,86169.62,85651.92,85891.02,527.35929
2025-12-16 02:00:00,85891.02,86227.99,85800.0,85944.01,492.40216
2025-12-16 03:00:00,85944.01,86019.76,85386.0,85875.92,697.04602
2025-12-16 04:00:00,85875.91,85925.77,85266.0,85838.51,611.35109
2025-12-16 05:00:00,85838.5,86200.0,85812.61,86028.11,355.99172
2025-12-16 06:00:00,86028.12,86611.69,86028.12,86508.0,522.6826
2025-12-16 07:00:00,86508.01,86615.38,85850.0,86021.51,943.04227
2025-12-16 08:00:00,86021.51,86380.0,85930.97,86281.18,426.54563
2025-12-16 09:00:00,86281.17,86426.07,86201.1,86350.0,366.58293
2025-12-16 10:00:00,86350.0,87327.7,86275.06,86980.01,956.84103
2025-12-16 11:00:00,86980.01,87330.0,86820.0,87261.45,667.2763
2025-12-16 12:00:00,87261.46,87480.0,87077.41,87212.98,861.57452
2025-12-16 13:00:00,87212.98,87786.88,86410.01,86443.02,2144.73917
2025-12-16 14:00:00,86443.02,87763.92,86107.43,87297.99,1799.42456
2025-12-16 15:00:00,87298.0,88175.98,86839.35,87977.43,1924.39377
2025-12-16 16:00:00,87977.44,88050.17,87333.08,87588.26,1300.81662
2025-12-16 17:00:00,87588.26,87844.01,87093.79,87131.99,779.27901
2025-12-16 18:00:00,87132.0,88019.88,87061.23,87781.35,863.99314
2025-12-16 19:00:00,87781.35,87800.0,87294.11,87585.77,553.66943
2025-12-16 20:00:00,87585.76,87836.47,87343.75,87573.23,378.71665
2025-12-16 21:00:00,87573.22,87906.29,87496.05,87768.59,268.86536
