symbol,requested_mode,mode,total_trades,win_rate,profit_factor,roi,max_drawdown,total_pnl,error
BTC/USDT,auto,balanced,4,0.5,1.8574020407134608,0.03395695887299266,-0.022002230964294323,339.5695887299256,
ETH/USDT,auto,strict,3,1.0,0.0,0.1288863090228991,0.0,1288.8630902289915,
ADA/USDT,auto,strict,0,0.0,0.0,0.0,0.0,0.0,
LTC/USDT,auto,strict,2,0.5,1.1822996690907768,0.004582465128845303,-0.025136990932021264,45.82465128845314,
DOT/USDT,auto,strict,3,0.3333333333333333,1.0921452278706119,0.004297085985470073,-0.04663384186866637,42.97085985470335,
XRP/USDT,auto,strict,2,0.5,0.605926768496657,-0.024687519086036946,-0.06264703388214699,-246.87519086037088,
