symbol,requested_mode,mode,total_trades,win_rate,profit_factor,roi,max_drawdown,total_pnl,error
BTC/USDT,auto,balanced,54,0.3888888888888889,0.8939276592620322,-0.07615513417660313,-0.20823439904031127,-761.5513417660263,
ETH/USDT,auto,strict,39,0.358974358974359,0.7467422617203892,-0.15926217345915483,-0.1636403684452753,-1592.6217345915486,
ADA/USDT,auto,strict,22,0.5,1.2531890954592984,0.07810917719658028,-0.09689958800073051,781.0917719657997,
LTC/USDT,auto,strict,37,0.40540540540540543,0.8363260032367825,-0.09123603955420845,-0.15309476137753342,-912.3603955420897,
DOT/USDT,auto,strict,32,0.5,1.3736976601668685,0.1800490234767418,-0.10908426400656746,1800.4902347674176,
XRP/USDT,auto,strict,25,0.36,0.6446931220141456,-0.15600410662827724,-0.19581603414241977,-1560.0410662827717,
